J,X1X2_infid_CD,X1X2_infid_N_4,X1X2_infid_N_6,X1X2_infid_N_8
1.748101265822784356e+01,4.096040972639943822e-01,4.558883597676199884e-04,7.140786493453621375e-05,2.419264040831592411e-05
1.773291139240506098e+01,4.167098184273356765e-01,4.738519432667676057e-04,7.429688735649531139e-05,2.512096073847835953e-05
1.798481012658227840e+01,4.237245533578655188e-01,4.923608430612569364e-04,7.727771778787140278e-05,2.607665386755719794e-05
1.823670886075949227e+01,4.306456793299391350e-01,5.114286849476901153e-04,8.035270452244613892e-05,2.706043080635822662e-05
1.848860759493670614e+01,4.374707768439549671e-01,5.310694143527694422e-04,8.352442219883293717e-05,2.807295289408706651e-05
1.874050632911392356e+01,4.441976277619125169e-01,5.512972283913120108e-04,8.679538342626358371e-05,2.911499793756266996e-05
1.899240506329113742e+01,4.508242127652624109e-01,5.721266266679458923e-04,9.016818670448678574e-05,3.018728768000578100e-05
1.924430379746835129e+01,4.573487082921363633e-01,5.935724021359778391e-04,9.364548828172392092e-05,3.129057967821147201e-05
1.949620253164556871e+01,4.637694835929767612e-01,6.156496752180995458e-04,9.723005181994093249e-05,3.242565425476406915e-05
1.974810126582278258e+01,4.700850963649296776e-01,6.383738268868066612e-04,1.009246339462865905e-04,3.359330004604199615e-05
2.000000000000000000e+01,4.762942887277873405e-01,6.617605942251802986e-04,1.047320907069382301e-04,3.479433618203131573e-05
