J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
1.521392405063290632e+01,7.756401568752208098e-01,2.121809296278809320e-04,2.207464710007878139e-05,6.115804534023716599e-06
1.546582278481012374e+01,7.925399057802199332e-01,2.385753394663070459e-04,2.458891460083156844e-05,6.743860022417891287e-06
1.571772151898734116e+01,8.085047729881739142e-01,2.678300504881936384e-04,2.736166920780380707e-05,7.429969599959118653e-06
1.596962025316455680e+01,8.235226024793791400e-01,3.002017962410730156e-04,3.041597763286940648e-05,8.178878897480146293e-06
1.622151898734177067e+01,8.375887881339996177e-01,3.359649086776550497e-04,3.377660689740658029e-05,8.995659308674852639e-06
1.647341772151898454e+01,8.507060077254661179e-01,3.754120461941790055e-04,3.747005748216958310e-05,9.885730801073577823e-06
1.672531645569620196e+01,8.628838681726005433e-01,4.188549815756781314e-04,4.152470872292868265e-05,1.085487333718493375e-05
1.697721518987341582e+01,8.741384702079972868e-01,4.666253422175858923e-04,4.597087928104315324e-05,1.190924688942995857e-05
1.722911392405062969e+01,8.844919005800662148e-01,5.190753860720986879e-04,5.084093743529249920e-05,1.305541606716476011e-05
1.748101265822784356e+01,8.939716625765395941e-01,5.765787894110863121e-04,5.616939310504331928e-05,1.430036276095503212e-05
1.773291139240506098e+01,9.026100555926088731e-01,6.395313480514475124e-04,6.199299579462413945e-05,1.565151391014207860e-05
1.798481012658227840e+01,9.104435149200780231e-01,7.083517916622872335e-04,6.835086367967813104e-05,1.711675206195195642e-05
1.823670886075949227e+01,9.175119245413371205e-01,7.834824590870481664e-04,7.528453166805171293e-05,1.870445024099165465e-05
1.848860759493670614e+01,9.238579143611023170e-01,8.653900760469679376e-04,8.283811891068859623e-05,2.042347960451440514e-05
1.874050632911392356e+01,9.295261550058461220e-01,9.545664541668608116e-04,9.105840232526141165e-05,2.228324493641631321e-05
1.899240506329113742e+01,9.345626612667331523e-01,1.051529158815456277e-03,9.999495217977161232e-05,2.429369973000472527e-05
1.924430379746835129e+01,9.390141160968119571e-01,1.156822257638856488e-03,1.097001724811863532e-04,2.646537286982164616e-05
1.949620253164556871e+01,9.429272261548562462e-01,1.271016900314836384e-03,1.202295661031360652e-04,2.880939601906939984e-05
1.974810126582278258e+01,9.463481177544039724e-01,1.394711945973625689e-03,1.316416965641553638e-04,3.133752360573449636e-05
2.000000000000000000e+01,9.493217832941748258e-01,1.528534601063391563e-03,1.439983887964180198e-04,3.406215723528172035e-05
