J,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
1.722911392405062969e+01,6.856990348801799140e-01,6.529932752613376579e-03,1.291686455081597629e-03,3.908430076025037891e-04
1.748101265822784356e+01,6.956126587825581797e-01,6.863784078980028625e-03,1.359477449410451122e-03,4.115726796454222125e-04
1.773291139240506098e+01,7.054096430931953154e-01,7.211056385283520775e-03,1.430144985487546982e-03,4.332001022442355520e-04
1.798481012658227840e+01,7.150867251929473589e-01,7.572136859456679581e-03,1.503784039788791382e-03,4.557559904583285970e-04
1.823670886075949227e+01,7.246402438364311083e-01,7.947418452582843962e-03,1.580490869602324544e-03,4.792718017452290979e-04
1.848860759493670614e+01,7.340661531537127082e-01,8.337299414910903650e-03,1.660364199196795454e-03,5.037798255457248686e-04
1.874050632911392356e+01,7.433600377378777324e-01,8.742183488310129036e-03,1.743504952308905231e-03,5.293131509583881567e-04
1.899240506329113742e+01,7.525171327433903823e-01,9.162479675770440757e-03,1.830016282379109960e-03,5.559056350018520831e-04
1.924430379746835129e+01,7.615323548576546919e-01,9.598602165969416511e-03,1.920003597678632268e-03,5.835920060185406655e-04
1.949620253164556871e+01,7.704003370786771665e-01,1.005097003615607054e-02,2.013574536094075995e-03,6.124078240439256859e-04
1.974810126582278258e+01,7.791154644864002332e-01,1.052000707466549390e-02,2.110839133267816692e-03,6.423894780447358954e-04
2.000000000000000000e+01,7.876719155247403625e-01,1.100614236501984422e-02,2.211909588391791637e-03,6.735742365000518816e-04
