gamma,2nd_X1_error_N_4,2nd_X1_error_N_6,2nd_X1_error_N_8
2.2122537089773453,0.027585675645278942,0.11884665338251682,0.16621079067903005
2.228169203286535,0.025984194070860642,0.11742352221998828,0.16525187175229772
2.2440846975957247,0.02441027553823752,0.11599870885677903,0.16428925467485986
2.260000191904914,0.0228696801306045,0.1145723487223924,0.1633229968203589
2.2759156862141037,0.021369652269223466,0.11314457664091472,0.16235315832476138
2.291831180523293,0.01991938396781298,0.11171552755969476,0.16137979529495883
2.3077466748324826,0.018530609292635447,0.11028533529912117,0.16040296678769222
2.3236621691416723,0.017218330344742426,0.1088541336776208,0.15942273102169652
2.3395776634508616,0.016001617829327006,0.10742205594089926,0.15843914603057233
2.3554931577600513,0.014904300008869158,0.10598923477925767,0.15745227163226816
2.3714086520692406,0.01395511628366659,0.10455580253993133,0.15646216503275034
2.3873241463784303,0.0131865909808154,0.10312189096846923,0.15546888530028208
2.40323964068762,0.012631714506522309,0.1016876312797266,0.15447249096051893
2.4191551349968092,0.01231806403820613,0.10025315422064082,0.15347304071497075
2.435070629305999,0.012260710570551656,0.09881858995049783,0.152470593336768
2.450986123615188,0.012457238257637981,0.09738406816941472,0.15146520755653337
2.466901617924378,0.012887999347510448,0.09594971792689415,0.15045694212657257
2.4828171122335676,0.01352150651168257,0.09451566777237799,0.1494458558793728
2.498732606542757,0.014321717087842072,0.09308204565500983,0.1484320076385187
2.5146481008519466,0.015253892891505952,0.09164897898302124,0.14741545603868747
2.530563595161136,0.01628778013661363,0.09021659453887108,0.1463962601404438
2.5464790894703255,0.017398565762299104,0.08878501855264126,0.1453744786757653
2.5623945837795152,0.018566572846085056,0.0873543766374386,0.14435017049529886
2.5783100780887045,0.0197764556446248,0.08592479389721393,0.14332339447544226
2.594225572397894,0.02101631635831094,0.08449639472609266,0.14229420921564853
2.610141066707084,0.02227692249116537,0.08306930301370842,0.14126267377962612
2.626056561016273,0.023551074238629868,0.08164364201611705,0.1402288466317426
2.641972055325463,0.02483311563181461,0.08021953442127969,0.13919278668878443
2.657887549634652,0.0261185649966138,0.07879710234836021,0.13815455267927076
2.673803043943842,0.027403838204808857,0.07737646732105101,0.13711420317013637
2.6897185382530315,0.028686041834151074,0.07595775031728046,0.13607179684294082
2.705634032562221,0.02996281820872414,0.07454107174577991,0.13502739224059002
2.7215495268714105,0.031232228754951918,0.07312655150193474,0.13398104786643183
2.7374650211805998,0.03249266559896567,0.07171430894949654,0.1329328221920561
2.7533805154897895,0.03374278408739059,0.0703044629557375,0.13188277365097426
2.769296009798979,0.03498145089013015,0.06889713196153147,0.13083096053734167
2.7852115041081684,0.036256687190143924,0.06749243377250833,0.129777441154381
2.801126998417358,0.037652306372103046,0.06609048607293384,0.1287222736096239
2.8170424927265474,0.03903740633950404,0.06469140597664676,0.1276655161154618
2.832957987035737,0.04041112354023097,0.0632953103489076,0.12660722667512905
2.848873481344927,0.04177267412218104,0.06190231569386627,0.12554746311791995
2.864788975654116,0.04312134148156376,0.06051253842483616,0.12448628376491074
2.8807044699633058,0.044456466195068066,0.05912609472023051,0.12342374520783089
2.896619964272495,0.04577743786087378,0.057743100704346524,0.12235990620866734
2.9125354585816847,0.04708368840085539,0.05636367255126665,0.1212948239434077
2.9284509528908744,0.04837468659282508,0.05498792652017841,0.12022855585281254
2.9443664472000637,0.049649933534734195,0.053615979154910995,0.11916115917732442
2.9602819415092534,0.050908958913737076,0.0522479473479882,0.11809269117070849
2.9761974358184426,0.05215131785095507,0.050883948553524155,0.11702320886459922
2.9921129301276324,0.053376588319526304,0.04952410095128945,0.11595276922859138
3.0080284244368225,0.054584368954449694,0.04816852364418755,0.11488142898897746
3.0239439187460113,0.055774277172847726,0.04681733693894933,0.11380924495560274
3.0398594130552015,0.05694594767743391,0.04547066261413492,0.1127362735758394
3.055774907364391,0.058099031122478384,0.044128624260971853,0.11166257125075484
