J,idle_infid_CD,idle_infid_DD
1.773291139240506098e+01,9.184555117002691782e-01,4.151377564509395324e-02
1.798481012658227840e+01,9.248555188364698809e-01,4.401274616157102582e-02
1.823670886075949227e+01,9.305475516635874911e-01,4.663651720393413580e-02
1.848860759493670614e+01,9.355819887053461459e-01,4.938937672729959427e-02
1.874050632911392356e+01,9.400097747069251497e-01,5.227569773523832453e-02
1.899240506329113742e+01,9.438816860660639296e-01,5.529985903560430405e-02
1.924430379746835129e+01,9.472476484702183619e-01,5.846613308063375314e-02
1.949620253164556871e+01,9.501561173675803218e-01,6.177888599130376690e-02
1.974810126582278258e+01,9.526535287241150174e-01,6.524237093161422418e-02
2.000000000000000000e+01,9.547838285921984580e-01,6.886081554942125038e-02
