gamma,2nd_idle_error_N_4,2nd_idle_error_N_6,2nd_idle_error_N_8
1.098169107334078,0.015362372639975017,0.023590090036732618,0.026870423678550373
1.1140846016432675,0.01500435220573163,0.023385399648937908,0.02674546547993563
1.130000095952457,0.014646813116163853,0.0231790695019778,0.02661914490096921
1.1459155902616465,0.014289933976749014,0.02297114946152565,0.02649148000922722
1.1618310845708362,0.013933892542022711,0.022761689707802055,0.02636248810284243
1.1777465788800257,0.013578864681060045,0.022550740559869036,0.026232187228875957
1.1936620731892151,0.013225024879357943,0.022338352706710154,0.026100595418073354
1.2095775674984046,0.012872545528657738,0.022124576963270387,0.025967730959717505
1.225493061807594,0.01252159842380179,0.021909464669947087,0.02583361222281132
1.2414085561167838,0.012172351761861776,0.021693066942186222,0.025698257812329723
1.2573240504259733,0.011824972753848388,0.021475435446581922,0.02556168597474561
1.2732395447351628,0.011479626155795446,0.02125662183895473,0.02542391601176595
1.2891550390443522,0.011136474621484767,0.021036678257661805,0.025284967178754076
1.305070533353542,0.01079567844194831,0.020815656493935023,0.025144857056051698
1.3209860276627314,0.010457395381893112,0.020593608812757753,0.02500360645035581
1.336901521971921,0.01012178080451188,0.020370587847776858,0.02486123424283783
1.3528170162811104,0.00978898732304414,0.0201466454303671,0.02471775999492646
1.3687325105902999,0.009459164831745435,0.019921834297943822,0.0245732033534392
1.3846480048994896,0.009132460552112809,0.019696211745133335,0.024427582615326363
1.400563499208679,0.008809018622298452,0.01946981766366653,0.02428092233706481
1.4164789935178685,0.008488980301235197,0.01924271691267975,0.024133237335152175
1.432394487827058,0.008172483728932856,0.019014958462418744,0.02398454986291079
1.4483099821362475,0.0078596639240422,0.01878659489036005,0.02383488009066544
1.4642254764454372,0.0075506526918266426,0.018557678939254706,0.023684248366274245
1.4801409707546267,0.007245578374741634,0.018328263438993034,0.023532675041931614
1.4960564650638162,0.006944566121410116,0.018098401012213734,0.02338018077846895
1.5119719593730057,0.006647737550067494,0.0178681444179973,0.023226786091248015
1.5278874536821956,0.006355210797280368,0.017637546133697148,0.023072511694922127
1.543802947991385,0.006067100286930749,0.017406658416386313,0.0229173786319251
1.5597184423005745,0.005783516969253011,0.01717553456788772,0.02276140774046375
1.575633936609764,0.00550456796900502,0.016944226174146586,0.02260461910129954
1.5915494309189535,0.005230356697526749,0.01671278547009312,0.02244703685708346
1.6074649252281432,0.00496098271673314,0.01648126458497356,0.022288678503071164
1.6233804195373327,0.0046965417606055476,0.01624971533499012,0.02212956705240187
1.6392959138465222,0.004437125655275169,0.01601818951510341,0.02196972424818425
1.6552114081557117,0.004182822214006788,0.01578673866041238,0.02180917036830548
1.6711269024649011,0.003933715308774526,0.01555541398842195,0.02164792643718241
1.6870423967740908,0.00368988476428371,0.015324266833862865,0.021486015487768118
1.7029578910832803,0.003451406182513764,0.015093347822695242,0.021323458275732916
1.7188733853924698,0.0032183514472836888,0.014862707708265926,0.021160276542016007
1.7347888797016593,0.002990787870669575,0.014632396861667788,0.020996491840791096
1.7507043740108488,0.0027687788645660845,0.014402465312309995,0.020832125983741102
1.7666198683200385,0.002552383634362827,0.014172962929498111,0.020667200704125244
1.782535362629228,0.002341657119166741,0.013943939223033278,0.020501737618991153
1.7984508569384174,0.0021366501109461354,0.013715443301296808,0.020335758588745454
1.814366351247607,0.0019374091011827184,0.013487524393605468,0.020169285463333384
