gamma,1st_error_N_4,1st_error_N_6,1st_error_N_8
0.2021267777267071,0.130561240729127,0.132008602736008,0.132577209448796
0.20371832715762606,0.130517675195241,0.131987713067321,0.132565272524008
0.205309876588545,0.130473776185293,0.13196666126839,0.132553242524498
0.20690142601946396,0.130429543891039,0.131945447379209,0.132541119463099
0.2084929754503829,0.130384978505696,0.131924071440083,0.132528903352742
0.21008452488130186,0.130340080223943,0.131902533491621,0.132516594206457
0.21167607431222082,0.13029484924192,0.131880833574743,0.132504192037374
0.21326762374313976,0.130249285757229,0.131858971730674,0.132491696858723
0.21485917317405873,0.130203389968929,0.131836948000949,0.13247910868383
0.2164507226049777,0.13015716207754,0.131814762427408,0.132466427526124
0.21804227203589663,0.130110602285042,0.1317924150522,0.13245365339913
0.2196338214668156,0.13006371079487,0.131769905917779,0.132440786316475
0.22122537089773456,0.130016487811916,0.131747235066908,0.132427826291882
0.2228169203286535,0.12996893354253,0.131724402542658,0.132414773339175
0.22440846975957243,0.129921048194517,0.131701408388403,0.132401627472276
0.22600001919049137,0.129872831977137,0.131678252647829,0.132388388705208
0.22759156862141033,0.129824285101103,0.131654935364923,0.132375057052091
0.22918311805232927,0.129775407778584,0.131631456583985,0.132361632527144
0.23077466748324824,0.129726200223197,0.131607816349616,0.132348115144687
0.2323662169141672,0.129676662650017,0.131584014706727,0.132334504919137
0.23395776634508614,0.129626795275565,0.131560051700534,0.13232080186501
0.2355493157760051,0.129576598317815,0.13153592737656,0.132307005996922
0.23714086520692407,0.129526071996191,0.131511641780633,0.132293117329588
0.238732414637843,0.129475216531564,0.131487194958888,0.132279135877821
0.24032396406876197,0.129424032146255,0.131462586957767,0.132265061656533
0.24191551349968093,0.129372519064031,0.131437817824016,0.132250894680736
0.24350706293059987,0.129320677510108,0.131412887604688,0.132236634965539
0.24509861236151884,0.129268507711144,0.131387796347142,0.13222228252615
0.2466901617924378,0.129216009895245,0.131362544099042,0.132207837377879
0.24828171122335674,0.129163184291962,0.131337130908357,0.13219329953613
0.2498732606542757,0.129110031132286,0.131311556823364,0.13217866901641
0.25146481008519467,0.129056550648654,0.131285821892643,0.132163945834323
0.2530563595161136,0.129002743074944,0.131259926165079,0.13214913000557
0.25464790894703254,0.128948608646474,0.131233869689864,0.132134221545954
0.25623945837795153,0.128894147600003,0.131207652516494,0.132119220471374
0.25783100780887047,0.128839360173731,0.131181274694771,0.13210412679783
0.2594225572397894,0.128784246607294,0.1311547362748,0.132088940541418
0.2610141066707084,0.128728807141768,0.131128037306993,0.132073661718336
0.26260565610162734,0.128673042019665,0.131101177842065,0.132058290344878
0.2641972055325463,0.128616951484934,0.131074157931037,0.132042826437437
0.2657887549634652,0.128560535782959,0.131046977625232,0.132027270012506
0.26738030439438415,0.128503795160558,0.131019636976281,0.132011621086674
0.26897185382530314,0.128446729865983,0.130992136036116,0.131995879676632
0.2705634032562221,0.128389340148921,0.130964474856976,0.131980045799166
0.272154952687141,0.128331626260487,0.130936653491401,0.131964119471163
0.27374650211806,0.128273588453231,0.130908671992237,0.131948100709607
0.27533805154897895,0.128215226981131,0.130880530412635,0.131931989531583
0.2769296009798979,0.128156542099596,0.130852228806046,0.131915785954271
0.2785211504108169,0.128097534065463,0.130823767226229,0.131899489994951
0.2801126998417358,0.128038203136996,0.130795145727242,0.131883101671002
0.28170424927265475,0.127978549573886,0.130766364363452,0.131866620999901
0.2832957987035737,0.127918573637253,0.130737423189523,0.131850047999223
0.2848873481344927,0.127858275589637,0.130708322260428,0.131833382686642
0.2864788975654116,0.127797655695007,0.130679061631439,0.131816625079929
0.28807044699633055,0.127736714218754,0.130649641358134,0.131799775196956
0.28966199642724955,0.127675451427689,0.130620061496391,0.131782833055689
0.2912535458581685,0.127613867590048,0.130590322102392,0.131765798674197
0.2928450952890874,0.127551962975485,0.130560423232623,0.131748672070645
0.2944366447200064,0.127489737855077,0.130530364943872,0.131731453263295
0.29602819415092535,0.127427192501317,0.130500147293227,0.131714142270509
0.2976197435818443,0.127364327188117,0.130469770338081,0.131696739110748
0.2992112930127633,0.127301142190806,0.130439234136129,0.131679243802568
0.3008028424436822,0.127237637786131,0.130408538745367,0.131661656364626
0.30239439187460115,0.12717381425225,0.130377684224094,0.131643976815676
0.30398594130552015,0.127109671868741,0.13034667063091,0.13162620517457
0.30557749073643903,0.12704521091659,0.130315498024718,0.131608341460259
0.307169040167358,0.126980431678199,0.13028416646472,0.13159038569179
0.30876058959827696,0.12691533443738,0.130252676010422,0.131572337888311
0.3103521390291959,0.126849919479358,0.130221026721632,0.131554198069066
0.3119436884601149,0.126784187090763,0.130189218658456,0.131535966253398
0.3135352378910338,0.126718137559639,0.130157251881305,0.131517642460745
0.31512678732195276,0.126651771175435,0.130125126450887,0.131499226710648
0.31671833675287175,0.126585088229007,0.130092842428216,0.131480719022743
0.3183098861837907,0.126518089012616,0.130060399874601,0.131462119416762
0.3199014356147097,0.126450773819932,0.130027798851656,0.131443427912539
0.3214929850456286,0.126383142946024,0.129995039421295,0.131424644530004
0.32308453447654756,0.126315196687367,0.129962121645729,0.131405769289183
0.3246760839074665,0.126246935341838,0.129929045587475,0.131386802210204
0.32626763333838543,0.126178359208713,0.129895811309344,0.131367743313288
0.3278591827693044,0.126109468588672,0.129862418874453,0.131348592618757
0.3294507322002233,0.126040263783789,0.129828868346213,0.13132935014703
0.3310422816311423,0.125970745097542,0.129795159788341,0.131310015918624
0.33263383106206124,0.125900912834801,0.129761293264848,0.131290589954152
0.33422538049298023,0.125830767301835,0.129727268840048,0.131271072274327
0.33581692992389917,0.125760308806309,0.129693086578554,0.131251462899958
0.33740847935481816,0.125689537657279,0.129658746545277,0.131231761851951
0.33900002878573704,0.125618454165198,0.129624248805428,0.131211969151313
0.34059157821665603,0.125547058641909,0.129589593424518,0.131192084819145
0.34218312764757497,0.125475351400646,0.129554780468355,0.131172108876647
0.34377467707849396,0.125403332756036,0.129519810003047,0.131152041345117
0.3453662265094129,0.125331003024092,0.129484682095,0.131131882245948
0.3469577759403319,0.125258362522217,0.129449396810919,0.131111631600634
0.3485493253712508,0.125185411569201,0.129413954217808,0.131091289430765
0.35014087480216977,0.125112150485221,0.129378354382967,0.131070855758027
0.3517324242330887,0.125038579591837,0.129342597373997,0.131050330604205
0.3533239736640077,0.124964699211995,0.129306683258795,0.131029713991181
0.35491552309492663,0.124890509670025,0.129270612105557,0.131009005940935
0.3565070725258456,0.124816011291638,0.129234383982775,0.130988206475542
0.3580986219567645,0.124741204403925,0.12919799895924,0.130967315617177
0.3596901713876835,0.124666089335359,0.129161457104041,0.130946333388112
0.36128172081860244,0.124590666415791,0.129124758486563,0.130925259810713
0.36287327024952143,0.124514935976452,0.129087903176488,0.130904094907448
0.36446481968044037,0.124438898349947,0.129050891243797,0.130882838700878
0.3660563691113593,0.124362553870259,0.129013722758766,0.130861491213665
0.36764791854227824,0.124285902872746,0.128976397791967,0.130840052468564
0.3692394679731972,0.124208945694139,0.128938916414272,0.13081852248843
0.37083101740411617,0.124131682672542,0.128901278696846,0.130796901296214
0.37242256683503505,0.124054114147432,0.128863484711152,0.130775188914965
0.37401411626595404,0.123976240459656,0.128825534528949,0.130753385367828
0.375605665696873,0.123898061951429,0.128787428222292,0.130731490678045
0.377197215127792,0.123819578966338,0.128749165863531,0.130709504868956
0.3787887645587109,0.123740791849336,0.128710747525314,0.130687427963997
0.3803803139896299,0.123661700946741,0.128672173280582,0.130665259986702
0.3819718634205488,0.123582306606239,0.128633443202574,0.130643000960699
0.3835634128514678,0.12350260917688,0.128594557364822,0.130620650909717
0.3851549622823867,0.123422609009076,0.128555515841154,0.130598209857579
0.3867465117133057,0.123342306454602,0.128516318705693,0.130575677828205
0.38833806114422464,0.123261701866594,0.128476966032858,0.130553054845614
0.38992961057514364,0.12318079559955,0.128437457897362,0.130530340933918
0.3915211600060625,0.123099588009324,0.128397794374212,0.13050753611733
0.3931127094369815,0.123018079453131,0.128357975538709,0.130484640420156
0.39470425886790045,0.122936270289541,0.128318001466451,0.130461653866801
0.39629580829881944,0.122854160878481,0.128277872233326,0.130438576481765
0.3978873577297384,0.122771751581232,0.12823758791552,0.130415408289647
0.39947890716065737,0.122689042760428,0.128197148589511,0.13039214931514
0.40107045659157625,0.122606034780058,0.128156554332071,0.130368799583035
0.40266200602249524,0.122522728005461,0.128115805220264,0.130345359118218
0.4042535554534142,0.122439122803326,0.12807490133145,0.130321827945674
0.4058451048843332,0.122355219541693,0.128033842743281,0.130298206090483
0.4074366543152521,0.122271018589948,0.127992629533702,0.130274493577821
0.409028203746171,0.122186520318827,0.127951261780951,0.130250690432961
0.41061975317709,0.12210172510041,0.127909739563558,0.130226796681272
0.4122113026080089,0.122016633308123,0.127868062960347,0.130202812348221
0.4138028520389279,0.121931245316736,0.127826232050434,0.130178737459369
