J,X1_infid_CD,X1_infid_N_4,X1_infid_N_6,X1_infid_N_8
9.672151898734174580e+00,6.442558360750472168e-02,1.059793120153806889e-03,1.882880010452003816e-04,5.709429434586077434e-05
9.924050632911390224e+00,6.900086489629619901e-02,1.131336344810995875e-03,2.013479974664056371e-04,6.107278194122933712e-05
1.017594936708860587e+01,7.379377906430906187e-02,1.206304861467444312e-03,2.150669411739025705e-04,6.525386533484667240e-05
1.042784810126581974e+01,7.880857169234656290e-02,1.284813113500149484e-03,2.294690928202891556e-04,6.964514022622658729e-05
1.067974683544303538e+01,8.404919899986540432e-02,1.366977609610797728e-03,2.445792742777896933e-04,7.425438659003358310e-05
1.093164556962025102e+01,8.951930023086485111e-02,1.452916812564097881e-03,2.604228655421758631e-04,7.908956893987184600e-05
1.118354430379746667e+01,9.522217847088243481e-02,1.542751227866845376e-03,2.770258072484210743e-04,8.415883595758177904e-05
1.143544303797468231e+01,1.011607761799137029e-01,1.636603188052254687e-03,2.944145854615332070e-04,8.947051897045810165e-05
1.168734177215189618e+01,1.073376518909139321e-01,1.734596857928094593e-03,3.126162371765994763e-04,9.503313239900279541e-05
1.193924050632911182e+01,1.137549597182415662e-01,1.836858149425801834e-03,3.316583448704779613e-04,1.008553732990691287e-04
1.219113924050632569e+01,1.204144280001951950e-01,1.943514644861088492e-03,3.515690263483639555e-04,1.069461199808552365e-04
1.244303797468354134e+01,1.273173388003016049e-01,2.054695612092038992e-03,3.723769376835495137e-04,1.133144322766899137e-04
1.269493670886075698e+01,1.344645090850299374e-01,2.170531799895569769e-03,3.941112687615433430e-04,1.199695506158837688e-04
1.294683544303797440e+01,1.418562722630077877e-01,2.291155475088735294e-03,4.168017268295631794e-04,1.269208953962319697e-04
1.319873417721518827e+01,1.494924611113745971e-01,2.416700244181391177e-03,4.404785508483888279e-04,1.341780665615743828e-04
1.345063291139240214e+01,1.573723917276114159e-01,2.547301092382880938e-03,4.651724922997146905e-04,1.417507826101394031e-04
1.370253164556961778e+01,1.654948498338825180e-01,2.683094280280351462e-03,4.909148144489616783e-04,1.496491189311166536e-04
1.395443037974683165e+01,1.738580754404989159e-01,2.824217185766420002e-03,5.177372870811547401e-04,1.578831520963053237e-04
1.420632911392404552e+01,1.824597538021535126e-01,2.970808309005645853e-03,5.456721854691926055e-04,1.664631904565450071e-04
1.445822784810126294e+01,1.912970028025606783e-01,3.123007145249045990e-03,5.747522774968150117e-04,1.753997285618424939e-04
