gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
4.249436980553606524e+00,3.983494647604373523e-03,8.330834125190733500e-04,3.743530698927781007e-04
4.265352474862795340e+00,3.920748534330105277e-03,8.907553655557604857e-04,3.325459406409603681e-04
4.281267969171985044e+00,3.856337911787614640e-03,9.490413564245894643e-04,2.921018423564480633e-04
4.297183463481173860e+00,3.790332254329837995e-03,1.007906206232498129e-03,2.530160617162353714e-04
4.313098957790363563e+00,3.722802128933796247e-03,1.067314806131520240e-03,2.152836534571734954e-04
4.329014452099554155e+00,3.653819003777088008e-03,1.127232123215896184e-03,1.788994560785550723e-04
4.344929946408742971e+00,3.583455443152252021e-03,1.187623200149822344e-03,1.438580964752814216e-04
4.360845440717932675e+00,3.511784756237585139e-03,1.248453186196214976e-03,1.101539955743122406e-04
4.376760935027121491e+00,3.438881061387615446e-03,1.309687339369011976e-03,7.778134885473128222e-05
4.392676429336312083e+00,3.364819187491885528e-03,1.371291032243478680e-03,4.673415695013148369e-05
4.408591923645501787e+00,3.289674589788996531e-03,1.433229780511533933e-03,1.700628907378562961e-05
4.424507417954690602e+00,3.213523282072354003e-03,1.495469228667323279e-03,1.140888919106180165e-05
4.440422912263880306e+00,3.136441752530823041e-03,1.557975230969540657e-03,3.851778671143546185e-05
4.456338406573070010e+00,3.058506898497718399e-03,1.620713720284945158e-03,6.432726571344726677e-05
4.472253900882259714e+00,2.979795941624071177e-03,1.683650949019621862e-03,8.884437324496414297e-05
4.488169395191449418e+00,2.900386358182346653e-03,1.746753030814274070e-03,1.120763043277003444e-04
4.504084889500638234e+00,2.820355797973625196e-03,1.809986762966687198e-03,1.340304717353536768e-04
4.520000383809827937e+00,2.739782027362156445e-03,1.873318849662451192e-03,1.547144763316930522e-04
