gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
1.527887453682195584e+00,6.355210797280367620e-03,1.763754613369714758e-02,2.307251169492212720e-02
1.543802947991385066e+00,6.067100286930748876e-03,1.740665841638631278e-02,2.291737863192510119e-02
1.559718442300574548e+00,5.783516969253011016e-03,1.717553456788771873e-02,2.276140774046375020e-02
1.575633936609764030e+00,5.504567969005019594e-03,1.694422617414658577e-02,2.260461910129954108e-02
1.591549430918953512e+00,5.230356697526749275e-03,1.671278547009312151e-02,2.244703685708345983e-02
1.607464925228143215e+00,4.960982716733139918e-03,1.648126458497356159e-02,2.228867850307116386e-02
1.623380419537332697e+00,4.696541760605547552e-03,1.624971533499012036e-02,2.212956705240187033e-02
1.639295913846522179e+00,4.437125655275169292e-03,1.601818951510340996e-02,2.196972424818425043e-02
1.655211408155711661e+00,4.182822214006788088e-03,1.578673866041237911e-02,2.180917036830547912e-02
1.671126902464901143e+00,3.933715308774525868e-03,1.555541398842195076e-02,2.164792643718240969e-02
1.687042396774090847e+00,3.689884764283710150e-03,1.532426683386286549e-02,2.148601548776811823e-02
1.702957891083280328e+00,3.451406182513763830e-03,1.509334782269524181e-02,2.132345827573291566e-02
1.718873385392469810e+00,3.218351447283688757e-03,1.486270770826592612e-02,2.116027654201600716e-02
1.734788879701659292e+00,2.990787870669575025e-03,1.463239686166778811e-02,2.099649184079109554e-02
1.750704374010848774e+00,2.768778864566084474e-03,1.440246531230999529e-02,2.083212598374110242e-02
1.766619868320038478e+00,2.552383634362827107e-03,1.417296292949811118e-02,2.066720070412524438e-02
1.782535362629227960e+00,2.341657119166741172e-03,1.394393922303327829e-02,2.050173761899115252e-02
1.798450856938417441e+00,2.136650110946135446e-03,1.371544330129680772e-02,2.033575858874545408e-02
1.814366351247606923e+00,1.937409101182718417e-03,1.348752439360546840e-02,2.016928546333338415e-02
1.830281845556796405e+00,1.743976448746519057e-03,1.326023016159840959e-02,2.000234005503529963e-02
1.846197339865986109e+00,1.556390220603496568e-03,1.303360966142731898e-02,1.983494434685302912e-02
1.862112834175175591e+00,1.374684196528805314e-03,1.280771023625204563e-02,1.966712066658937719e-02
1.878028328484365073e+00,1.198888003807379058e-03,1.258257929433546397e-02,1.949888981697214113e-02
1.893943822793554554e+00,1.029026977288384926e-03,1.235826394395183637e-02,1.933027395778385421e-02
1.909859317102744036e+00,8.651222286874383051e-04,1.213481062122418949e-02,1.916129584846067505e-02
1.925774811411933962e+00,7.071906522297679264e-04,1.191226562843709404e-02,1.899197693324544342e-02
1.941690305721123444e+00,5.552449321125671293e-04,1.169067491902212041e-02,1.882233912777774368e-02
1.957605800030312926e+00,4.092935498730073968e-04,1.147008299204462997e-02,1.865240447530916099e-02
1.973521294339502408e+00,2.693408603352562898e-04,1.125053537711315395e-02,1.848219483308345679e-02
1.989436788648691667e+00,1.353869970970016795e-04,1.103207624499189833e-02,1.831173205089448724e-02
2.005352282957881371e+00,7.428017521941571352e-06,1.081474874032488202e-02,1.814103808896435147e-02
